Date,Open,High,Low,Close,Adj Close,Volume
1979-01-03,1.799062,1.815628,1.795749,1.805688,0.443584,2701325
1979-01-04,1.805688,1.835507,1.795749,1.802375,0.442770,3655843
1979-01-05,1.802375,1.815628,1.789122,1.812314,0.445212,3542659
1979-01-08,1.812314,1.812314,1.792435,1.802375,0.442770,2988058
1979-01-09,1.802375,1.812314,1.799062,1.802375,0.442770,4391539
1979-01-10,1.802375,1.809001,1.795749,1.802375,0.442770,2097677
1979-01-11,1.809001,1.855386,1.809001,1.855386,0.455793,14242320
1979-01-12,1.878578,1.895144,1.878578,1.878578,0.461490,9175450
1979-01-15,1.878578,1.898457,1.878578,1.898457,0.466373,6500534
1979-01-16,1.895144,1.895144,1.862012,1.862012,0.457420,6093072
1979-01-17,1.862012,1.862012,1.835507,1.862012,0.457420,3157834
1979-01-18,1.862012,1.865325,1.845446,1.862012,0.457420,1377072
1979-01-19,1.862012,1.871952,1.842133,1.848760,0.454165,3535114
1979-01-22,1.845446,1.845446,1.828880,1.835507,0.450909,2524003
1979-01-23,1.835507,1.862012,1.822254,1.828880,0.449281,2505139
1979-01-24,1.828880,1.828880,1.775869,1.782496,0.437887,3836938
1979-01-25,1.782496,1.825567,1.782496,1.825567,0.448467,3599251
1979-01-26,1.825567,1.838820,1.802375,1.828880,0.449281,3010694
1979-01-29,1.828880,1.838820,1.815628,1.822254,0.447653,1516666
1979-01-30,1.822254,1.855386,1.805688,1.815628,0.446026,3433248
1979-01-31,1.815628,1.822254,1.792435,1.802375,0.442770,3135197
1979-02-01,1.802375,1.809001,1.782496,1.799062,0.441956,5051779
1979-02-02,1.799062,1.802375,1.779183,1.782496,0.437887,1527984
1979-02-05,1.782496,1.782496,1.759303,1.762617,0.433003,1309162
1979-02-06,1.762617,1.782496,1.755990,1.762617,0.433003,1550621
1979-02-07,1.762617,1.775869,1.749364,1.765930,0.433817,2784326
1979-02-08,1.769243,1.799062,1.769243,1.785809,0.438701,2622096
1979-02-09,1.785809,1.795749,1.769243,1.772556,0.435445,1271434
1979-02-12,1.772556,1.772556,1.759303,1.772556,0.435445,2456093
1979-02-13,1.779183,1.799062,1.779183,1.795749,0.441142,1788307
1979-02-14,1.795749,1.812314,1.789122,1.799062,0.441956,1346890
1979-02-15,1.789122,1.789122,1.772556,1.785809,0.438701,1712851
1979-02-16,1.782496,1.782496,1.749364,1.749364,0.429747,1501574
1979-02-20,1.749364,1.762617,1.709606,1.762617,0.433003,3761482
1979-02-21,1.762617,1.775869,1.752677,1.752677,0.430561,1909037
1979-02-22,1.752677,1.752677,1.729485,1.729485,0.424864,2229725
1979-02-23,1.729485,1.755990,1.729485,1.739424,0.427306,1999584
1979-02-26,1.739424,1.749364,1.729485,1.732798,0.425678,1275206
1979-02-27,1.726172,1.726172,1.716232,1.716232,0.421608,1856218
1979-02-28,1.716232,1.729485,1.709606,1.729485,0.424864,1365754
1979-03-01,1.726172,1.726172,1.709606,1.716232,0.424700,1026202
1979-03-02,1.716232,1.732798,1.712919,1.712919,0.423880,1844899
1979-03-05,1.712919,1.736111,1.712919,1.736111,0.429619,1067702
1979-03-06,1.736111,1.749364,1.729485,1.736111,0.429619,1678896
1979-03-07,1.736111,1.769243,1.736111,1.759303,0.435358,1486483
1979-03-08,1.759303,1.782496,1.752677,1.765930,0.436998,1897718
1979-03-09,1.772556,1.802375,1.772556,1.775869,0.439458,996019
1979-03-12,1.775869,1.785809,1.736111,1.762617,0.436178,1433664
1979-03-13,1.762617,1.769243,1.739424,1.762617,0.436178,1618531
1979-03-14,1.762617,1.772556,1.742737,1.742737,0.431259,962064
1979-03-15,1.742737,1.755990,1.739424,1.742737,0.431259,1267661
1979-03-16,1.742737,1.762617,1.732798,1.755990,0.434538,1482710
1979-03-19,1.755990,1.782496,1.755990,1.769243,0.437818,1995811
1979-03-20,1.765930,1.765930,1.755990,1.765930,0.436998,860198
1979-03-21,1.765930,1.779183,1.762617,1.779183,0.440278,2946557
1979-03-22,1.779183,1.809001,1.769243,1.809001,0.447657,4240627
1979-03-23,1.809001,1.809001,1.792435,1.802375,0.446017,2803190
1979-03-26,1.799062,1.799062,1.762617,1.762617,0.436178,826243
1979-03-27,1.765930,1.799062,1.765930,1.799062,0.445197,1509120
1979-03-28,1.795749,1.795749,1.769243,1.775869,0.439458,2588141
1979-03-29,1.775869,1.779183,1.736111,1.742737,0.431259,739469
1979-03-30,1.742737,1.755990,1.736111,1.749364,0.432899,1007338
1979-04-02,1.749364,1.749364,1.716232,1.732798,0.428799,928109
1979-04-03,1.739424,1.779183,1.739424,1.759303,0.435358,1169568
1979-04-04,1.775869,1.799062,1.775869,1.782496,0.441098,2418365
1979-04-05,1.782496,1.782496,1.769243,1.769243,0.437818,1803398
1979-04-06,1.769243,1.785809,1.769243,1.775869,0.439458,2071267
1979-04-09,1.775869,1.775869,1.749364,1.772556,0.438638,1456301
1979-04-10,1.772556,1.785809,1.769243,1.785809,0.441917,2365546
1979-04-11,1.785809,1.785809,1.755990,1.755990,0.434538,1810944
1979-04-12,1.755990,1.762617,1.736111,1.736111,0.429619,1497802
1979-04-16,1.729485,1.729485,1.712919,1.726172,0.427160,1618531
1979-04-17,1.726172,1.739424,1.726172,1.736111,0.429619,1739261
1979-04-18,1.736111,1.755990,1.732798,1.755990,0.434538,3603024
1979-04-19,1.755990,1.762617,1.742737,1.762617,0.436178,1633622
1979-04-20,1.755990,1.755990,1.732798,1.749364,0.432899,1814717
1979-04-23,1.736111,1.736111,1.712919,1.729485,0.427979,8734032
1979-04-24,1.729485,1.749364,1.729485,1.746051,0.432079,5474333
1979-04-25,1.746051,1.759303,1.736111,1.759303,0.435358,1709078
1979-04-26,1.759303,1.775869,1.736111,1.775869,0.439458,1852445
1979-04-27,1.779183,1.809001,1.779183,1.799062,0.445197,2542867
1979-04-30,1.799062,1.825567,1.795749,1.815628,0.449296,3769027
1979-05-01,1.815628,1.822254,1.809001,1.815628,0.449296,4119898
1979-05-02,1.812314,1.812314,1.795749,1.799062,0.445197,2897510
